"","logFC","AveExpr","t","P.Value","padj","B"
"RAB20",2.04352147189516,4.44586388517081,8.15892447982865,4.6638680083097e-09,0.000110850814821505,10.576794130605
"IGF2BP3",1.88505982646955,3.69613835093289,7.29903934189537,4.34841281942999e-08,0.000483051126187963,8.53096620002642
"PRKAR2B",1.81518899618691,3.65632656559538,7.17176287383939,6.09707749311632e-08,0.000483051126187963,8.21927543583343
"NOV",-1.33362290914867,1.17470509190286,-7.03113334349467,8.87636566305034e-08,0.000527433647698451,7.87239139781836
"PPM1A",0.752445580893845,7.18523207668932,6.77236020441288,1.78158462653928e-07,0.000726266070879477,7.22753827047562
"VNN1",3.26119112883664,6.71825626598282,6.7617692849895,1.83338792716125e-07,0.000726266070879477,7.20097216666272
"SOCS3",2.69322213368616,5.43189187629859,6.66648910788497,2.37388678711499e-07,0.000806036302230701,6.96138157598909
"IL1R2",3.63683747302665,6.06570261639386,6.58485260313171,2.96418466178305e-07,0.000808292648405125,6.75527171859864
"CMTM5",2.23773247652619,3.59765235320145,6.57309496455083,3.06068404394401e-07,0.000808292648405125,6.72552548470336
"IL18R1",2.58274301345843,5.40226755237669,6.48333547789267,3.91037674162754e-07,0.000929418343950034,6.49794164564301
"BCL6",2.37717183475867,9.67492958183159,6.39996874671904,4.91275461261389e-07,0.00106151228756915,6.28580089941989
"GAS2L1",1.20353962158965,2.37290472221888,6.3187876948893,6.13883393759716e-07,0.00119751983189171,6.0785418024664
"GK",1.90802326958694,6.55381906905732,6.26653382350414,7.08753127956411e-07,0.00119751983189171,5.94479347871389
"MYL9",2.26037159077222,3.98977217762513,6.26419058093434,7.133388844816e-07,0.00119751983189171,5.93878963506234
"INSL3",1.89962983145676,3.15628271685637,6.24321125328348,7.5575553173913e-07,0.00119751983189171,5.88501348975861
"ZDHHC19",3.91503636154987,4.18220536220827,6.2134085507008,8.20433279996706e-07,0.00121568552860432,5.80855001028267
"ITGB3",1.72309281448631,2.25587047714244,6.19233554156436,8.69515903158595e-07,0.00121568552860432,5.75443476154008
"CYP1B1",2.90268658201554,5.59875345740886,6.16687575410237,9.32791748563194e-07,0.00123169968221389,5.68900088208003
"TIFA",1.9203729221984,5.89802303434972,6.09085308347036,1.15081291353633e-06,0.00143960638573324,5.49327753015617
